37,19,7
37,19,7
39,20,7
41,21,8
42,21,8
44,22,8
39,20,7
40,20,7
25,12,4
23,11,4
24,12,5
25,11,3
26,13,5
32,18,8
24,17,9
24,16,9
32,23,16
32,23,17
31,22,17
27,19,13
14,10,6
29,18,8
46,28,10
21,14,8
17,15,13
16,15,15
15,15,14
17,16,14
129,110,62
22,15,11
22,15,11
21,16,12
19,15,13
17,14,14
18,14,13
17,14,13
17,14,13
11,13,17
16,13,15
7,8,13
7,8,13
17,12,15
17,10,7
15,8,6
43,31,22
113,80,49
151,114,72
180,134,84
185,132,78
79,47,28
126,87,55
129,86,54
117,76,47
116,74,44
121,82,52
114,74,45
35,19,12
36,23,13
24,11,4
21,14,12
22,15,13
45,33,41
73,62,49
70,53,32
44,28,17
29,16,12
51,28,10
54,30,11
50,27,10
49,27,10
20,15,14
29,21,20
30,21,17
37,20,8
37,20,7
37,20,7
42,23,8
41,23,8
52,29,9
48,27,9
48,26,9
44,24,9
63,35,10
56,29,9
59,31,10
62,33,10
28,14,5
48,26,8
48,26,9
49,26,8
59,31,9
28,11,4
37,15,2
47,20,4
48,20,4
40,15,3
24,13,6
19,7,4
15,6,5
32,16,5
23,10,4
82,56,25
42,25,16
26,14,9
33,17,9
41,20,10
5,6,8
7,10,11
6,7,9
11,13,13
7,10,13
6,5,6
7,7,6
7,6,7
5,9,15
5,9,15
5,9,16
6,6,9
6,6,9
5,9,15
6,9,16
6,8,9
3,4,8
2,3,6
9,9,10
10,10,11
10,10,11
3,5,9
3,5,9
13,11,11
12,10,10
5,8,12
6,9,14
39,32,63
29,20,17
9,12,18
17,13,12
9,7,7
7,6,9
8,6,9
6,10,15
6,10,15
14,8,5
9,8,8
8,6,7
20,17,16
15,11,11
